uid,genre_id
29963,15
33337,6
4058,18
14875,28
16011,3
21775,27
40313,0
900,32
32930,32
33291,11
9939,11
37102,3
4548,3
10935,6
1279,28
10236,5
4391,19
714,27
38735,30
21729,32
19951,1
918,22
30727,10
26035,3
2089,18
1693,18
9893,16
13663,7
35996,28
3745,29
17649,0
3483,29
32564,32
2165,13
33758,12
1705,28
19905,6
7329,15
1006,27
1047,28
39359,15
1443,28
33834,7
2637,8
785,28
1979,8
33036,27
34871,3
19981,1
9981,21
22295,12
33508,22
21235,32
27663,36
2317,3
18327,36
6811,25
21439,27
23753,38
2294,19
17679,0
39313,20
30851,22
40111,0
40507,0
10832,12
17219,15
36976,25
1910,29
2667,8
10110,27
1211,28
7639,32
12341,3
36155,34
1153,23
2743,3
37390,15
5098,15
2586,19
33253,38
31737,7
17843,0
744,3
33457,33
348,3
482,3
1206,34
6211,6
29301,6
37344,20
33271,28
34465,8
38672,0
36820,20
31691,12
5029,36
20175,1
37379,14
10717,38
9201,7
22507,29
8479,22
25619,20
39769,20
2331,35
378,3
512,3
32542,3
26219,15
6637,6
4744,25
20869,8
93,19
6975,1
34134,29
33697,28
38743,1
29803,1
21737,3
38440,0
12005,3
31302,28
466,8
4411,0
38621,11
11021,18
31797,7
32834,3
2361,35
34391,35
280,3
32310,3
15607,6
2635,15
21295,8
82,18
21033,8
25661,30
37538,20
39893,32
6877,1
3783,0
9774,3
6097,11
34118,34
706,3
32736,3
1867,35
7858,38
26151,15
21797,3
6511,1
36029,5
36466,6
2543,25
21273,3
37283,36
9862,8
9204,8
13411,0
6028,32
4209,0
35843,0
282,25
9542,3
29893,28
29497,28
33046,20
8156,38
32784,20
38472,22
15743,1
17259,32
294,35
30767,3
24619,16
22777,0
4938,1
15097,11
6594,12
6437,28
38164,27
38921,6
2281,1
1978,0
1582,0
3896,11
35926,11
15109,21
7445,3
1122,15
33152,15
21875,20
24987,11
1635,11
2235,6
36474,1
21951,15
4549,17
476,25
25063,6
6904,29
1274,5
8057,8
26183,37
5943,28
2311,1
3827,32
32844,20
34300,0
36655,12
31264,4
12365,25
92,35
3507,27
3641,27
29785,40
39022,34
1403,11
32932,25
33969,21
1281,21
34901,1
2079,1
1415,21
10716,0
4393,12
17237,3
821,36
7505,3
1619,16
1596,32
11031,11
3211,42
20951,35
16259,28
2167,6
16434,29
30625,30
12565,32
2243,1
35789,32
17267,3
168,6
302,6
13299,27
15613,38
4534,28
40375,20
37362,8
9539,0
1364,32
2558,12
2162,12
1498,32
5670,3
38954,34
1836,27
12991,32
27619,34
23725,7
1889,38
9693,36
36856,28
1394,32
408,1
1132,32
16954,14
37864,3
2169,28
4879,39
2303,28
25393,28
5415,19
17729,10
36851,34
40359,25
37742,13
7805,25
1482,37
403,7
30895,25
362,6
100,6
2583,18
